Source,Metric,Mean,CI Low,CI High,TI Low,TI High
Exp,Peak Velocity,1.0196214886666668,0.9464405172200371,1.0928024601132966,0.8740925201089507,1.165150457224383
Sim,Peak Velocity,1.0108223756666666,0.9708072431775677,1.0508375081557655,0.9312475785203094,1.0903971728130237
Exp,Average Velocity,0.5698742511883371,0.5173560235089266,0.6223924788677476,0.46543557876325414,0.6743129236134201
Sim,Average Velocity,0.6035319742429449,0.595804017610125,0.6112599308757648,0.5881640235912755,0.6188999248946143
